Temp,xFeed_1,xFeed_2,xFeed_3,xPhaseI_1,xPhaseI_2,xPhaseI_3,xPhaseII_1,xPhaseII_2,xPhaseII_3,nIter,calculationTime,isSinglePhase
275,0.01,0.01,0.98,0.01,0.00999999999999995,0.98,0.009999895708212,0.0100008832272008,0.979999221064587,8,1.5479369,1
282.5,0.01,0.01,0.98,0.01,0.00999999999999999,0.98,0.00999982954081109,0.0100014045620028,0.979998765897186,7,1.3992986,1
290,0.01,0.01,0.98,0.01,0.01,0.98,0.00999997026041012,0.0100002382491846,0.979999791490405,7,1.3958523,1
297.5,0.01,0.01,0.98,0.0100000000000435,0.00999999999966129,0.980000000000295,0.00999980616659088,0.0100015093964794,0.97999868443693,6,1.3061244,1
305,0.01,0.01,0.98,0.0100000000000068,0.00999999999994891,0.980000000000044,0.00999993214467933,0.0100005131954478,0.979999554659873,6,1.3677733,1
312.5,0.01,0.01,0.98,0.0100000000000012,0.00999999999999093,0.980000000000008,0.00999997227767837,0.0100002035233412,0.97999982419898,6,1.344711,1
320,0.01,0.01,0.98,0.0100000000000003,0.00999999999999822,0.980000000000002,0.00999998743386745,0.0100000894983893,0.979999923067743,6,1.3166836,1
327.5,0.01,0.01,0.98,0.0100000000000017,0.00999999999998829,0.98000000000001,0.00999980672596233,0.0100013347223566,0.979998858551681,5,1.1349519,1
335,0.01,0.01,0.98,0.0100000000000004,0.00999999999999734,0.980000000000002,0.00999989436091465,0.0100007068341127,0.979999398804973,5,1.1494625,1
342.5,0.01,0.01,0.98,0.0100000000000001,0.0099999999999994,0.980000000000001,0.00999993968743628,0.0100003907584768,0.979999669554087,5,1.137443,1
350,0.01,0.01,0.98,0.01,0.00999999999999986,0.98,0.00999996435212813,0.0100002234839709,0.979999812163901,5,1.1566974,1
357.5,0.01,0.01,0.98,0.01,0.00999999999999997,0.98,0.00999997833883283,0.0100001313100583,0.979999890351109,5,1.1527827,1
365,0.01,0.01,0.98,0.01,0.01,0.98,0.0099999865428572,0.0100000788259742,0.979999934631169,5,1.1688474,1
275,0.0916666666666667,0.01,0.898333333333333,0.0916666666666668,0.0099999999999999,0.898333333333333,0.0916648969904651,0.0100019312072521,0.898333171802283,8,1.6001275,1
282.5,0.0916666666666667,0.01,0.898333333333333,0.0916666666666667,0.00999999999999998,0.898333333333333,0.091664304722734,0.0100025220995121,0.898333173177754,7,1.4930576,1
290,0.0916666666666667,0.01,0.898333333333333,0.0916666666666667,0.01,0.898333333333333,0.09166626378548,0.010000420815646,0.898333315398874,7,1.4093679,1
297.5,0.0916666666666667,0.01,0.898333333333333,0.0916666666672036,0.00999999999945152,0.898333333333345,0.0916643158511322,0.0100024010743382,0.89833328307453,6,1.3968475,1
305,0.0916666666666667,0.01,0.898333333333333,0.0916666666667516,0.00999999999991521,0.898333333333333,0.0916658347475438,0.0100008305818013,0.898333334670655,6,1.3718344,1
312.5,0.0916666666666667,0.01,0.898333333333333,0.0916666666666826,0.00999999999998444,0.898333333333333,0.0916663210784924,0.0100003372596555,0.898333341661852,6,1.5021128,1
320,0.0916666666666667,0.01,0.898333333333333,0.09166666666667,0.00999999999999682,0.898333333333333,0.0916665068426502,0.010000152419165,0.898333340738185,6,1.2589543,1
327.5,0.0916666666666667,0.01,0.898333333333333,0.0916666666666872,0.00999999999998089,0.898333333333332,0.0916644698831194,0.0100020455265701,0.89833348459031,5,1.234381,1
335,0.0916666666666667,0.01,0.898333333333333,0.0916666666666717,0.00999999999999545,0.898333333333333,0.0916654415381616,0.0100011135076394,0.898333444954199,5,1.1919343,1
342.5,0.0916666666666667,0.01,0.898333333333333,0.0916666666666679,0.00999999999999891,0.898333333333333,0.0916659513653769,0.0100006346036827,0.89833341403094,5,1.2594437,1
350,0.0916666666666667,0.01,0.898333333333333,0.091666666666667,0.00999999999999974,0.898333333333333,0.0916662333994337,0.0100003751894275,0.898333391411139,5,1.1670104,1
357.5,0.0916666666666667,0.01,0.898333333333333,0.0916666666666667,0.00999999999999994,0.898333333333333,0.0916663963301237,0.0100002284744679,0.898333375195408,5,1.2547881,1
365,0.0916666666666667,0.01,0.898333333333333,0.0916666666666667,0.00999999999999999,0.898333333333333,0.0916664938689033,0.0100001425094962,0.898333363621601,5,1.2071985,1
275,0.173333333333333,0.01,0.816666666666667,0.173333333333333,0.00999999999999999,0.816666666666667,0.173332982253869,0.0100002338171075,0.816666783929024,9,2.1156429,1
282.5,0.173333333333333,0.01,0.816666666666667,0.173333333333333,0.01,0.816666666666667,0.17333297877786,0.0100002318323394,0.816666789389801,8,1.6742998,1
290,0.173333333333333,0.01,0.816666666666667,0.173333333333333,0.01,0.816666666666667,0.173332263289258,0.0100006864853007,0.816667050225441,7,1.5641543,1
297.5,0.173333333333333,0.01,0.816666666666667,0.173333333333397,0.00999999999995968,0.816666666666643,0.173333058029301,0.0100001734108587,0.81666676855984,7,1.5546093,1
305,0.173333333333333,0.01,0.816666666666667,0.173333333333543,0.00999999999987091,0.816666666666587,0.173331334907546,0.0100012332723165,0.816667431820138,6,1.5315155,1
312.5,0.173333333333333,0.01,0.816666666666667,0.173333333333373,0.00999999999997591,0.816666666666651,0.173332500466488,0.0100005045266235,0.816666995006889,6,1.4241443,1
320,0.173333333333333,0.01,0.816666666666667,0.173333333333342,0.00999999999999496,0.816666666666663,0.173332945379923,0.0100002306351335,0.816666823984944,6,1.4749878,1
327.5,0.173333333333333,0.01,0.816666666666667,0.173333333333335,0.00999999999999887,0.816666666666666,0.173333137627236,0.010000114135108,0.816666748237656,6,1.3148455,1
335,0.173333333333333,0.01,0.816666666666667,0.173333333333346,0.00999999999999302,0.816666666666661,0.17333056366605,0.0100015767134133,0.816667859620537,5,1.3243975,1
342.5,0.173333333333333,0.01,0.816666666666667,0.173333333333337,0.00999999999999826,0.816666666666665,0.173331698703562,0.01000091204471,0.816667389251728,5,1.2353878,1
350,0.173333333333333,0.01,0.816666666666667,0.173333333333334,0.00999999999999957,0.816666666666666,0.173332331489927,0.0100005480923622,0.816667120417711,5,1.3094672,1
357.5,0.173333333333333,0.01,0.816666666666667,0.173333333333334,0.0099999999999999,0.816666666666667,0.173332700266312,0.010000339676022,0.816666960057665,5,1.2393223,1
365,0.173333333333333,0.01,0.816666666666667,0.173333333333333,0.00999999999999998,0.816666666666667,0.173332923172242,0.0100002158593934,0.816666860968364,5,1.3837555,1
275,0.255,0.01,0.735,0.255,0.00999999999999997,0.735,0.254998957790219,0.0100005380606213,0.73500050414916,9,1.9568274,1
282.5,0.255,0.01,0.735,0.255,0.01,0.735,0.254999190817077,0.0100004110841579,0.735000398098765,8,1.7965024,1
290,0.255,0.01,0.735,0.255,0.01,0.735,0.2549978586002,0.0100010693102603,0.73500107208954,7,1.564093,1
297.5,0.255,0.01,0.735,0.255000000000127,0.00999999999993768,0.734999999999935,0.254999464294245,0.0100002633858677,0.735000272319887,7,1.7392562,1
