Temp,xFeed_1,xFeed_2,xFeed_3,xFeed_4,xFeed_5,xPhaseI_1,xPhaseI_2,xPhaseI_3,xPhaseI_4,xPhaseI_5,xPhaseII_1,xPhaseII_2,xPhaseII_3,xPhaseII_4,xPhaseII_5,nIter,calculationTime,isSinglePhase
275,0.01,0.01,0.01,0.01,0.96,0.010000000000025,0.00999999999980695,0.0100000000000075,0.00999999999994913,0.960000000000211,0.00999956634653211,0.0100033550586857,0.00999986937476911,0.0100008841363042,0.959996325083709,6,5.7736286,1
287.857142857143,0.01,0.01,0.01,0.01,0.96,0.0100000000000034,0.00999999999997127,0.0100000000000006,0.00999999999999233,0.960000000000032,0.00999986512373311,0.0100011430034858,0.00999997519444914,0.0100003049954807,0.959998711682851,6,5.5989302,1
300.714285714286,0.01,0.01,0.01,0.01,0.96,0.0100000000000006,0.00999999999999476,0.01,0.00999999999999858,0.960000000000006,0.00999995370056453,0.0100004373373684,0.00999999856026667,0.0100001181389706,0.95999949226283,6,5.8044812,1
313.571428571429,0.01,0.01,0.01,0.01,0.96,0.0100000000000001,0.00999999999999888,0.00999999999999998,0.0099999999999997,0.960000000000001,0.00999998305645587,0.0100001824827795,0.0100000029716617,0.0100000498849181,0.959999781604185,6,5.6250318,1
326.428571428571,0.01,0.01,0.01,0.01,0.96,0.0100000000000006,0.00999999999999303,0.00999999999999974,0.00999999999999807,0.960000000000009,0.00999983433402739,0.0100020977863578,0.0100000775910808,0.0100005799416455,0.959997410346888,5,4.9861843,1
339.285714285714,0.01,0.01,0.01,0.01,0.96,0.0100000000000001,0.00999999999999798,0.00999999999999988,0.00999999999999944,0.960000000000003,0.00999993077675027,0.0100010777469008,0.0100000633580809,0.0100003011227807,0.959998626995487,5,4.9099947,1
352.142857142857,0.01,0.01,0.01,0.01,0.96,0.01,0.00999999999999938,0.00999999999999995,0.00999999999999983,0.960000000000001,0.00999997177868546,0.0100005797745916,0.0100000473050349,0.0100001635441128,0.959999237597575,5,4.8625976,1
365,0.01,0.01,0.01,0.01,0.96,0.01,0.0099999999999998,0.00999999999999998,0.00999999999999994,0.96,0.00999998949567202,0.0100003245077876,0.0100000341712337,0.0100000923007844,0.959999559524522,5,4.8175863,1
275,0.15,0.01,0.01,0.01,0.82,0.150000000000057,0.00999999999996169,0.0100000000000009,0.0099999999999925,0.819999999999988,0.149999140849128,0.0100005795289743,0.00999998705001653,0.0100001135342675,0.820000179037613,7,6.325026,1
287.857142857143,0.15,0.01,0.01,0.01,0.82,0.150000000000103,0.00999999999992572,0.0100000000000007,0.00999999999998476,0.819999999999986,0.149996475657925,0.0100025491697862,0.00999997768851758,0.010000522996089,0.820000474487682,6,5.5826726,1
300.714285714286,0.15,0.01,0.01,0.01,0.82,0.150000000000015,0.00999999999998825,0.00999999999999992,0.00999999999999749,0.82,0.149998932890989,0.0100008457328607,0.0100000054631705,0.0100001809507028,0.820000034962277,6,5.8283572,1
313.571428571429,0.15,0.01,0.01,0.01,0.82,0.150000000000002,0.00999999999999782,0.00999999999999995,0.00999999999999951,0.82,0.149999650719843,0.0100003098922261,0.0100000072314164,0.0100000694359515,0.819999962720563,6,5.5390483,1
326.428571428571,0.15,0.01,0.01,0.01,0.82,0.150000000000011,0.00999999999998915,0.00999999999999955,0.00999999999999743,0.820000000000003,0.149997130132757,0.0100029227620296,0.0100001227991543,0.0100006911933488,0.81999913311271,5,4.8614361,1
339.285714285714,0.15,0.01,0.01,0.01,0.82,0.150000000000002,0.00999999999999725,0.00999999999999983,0.00999999999999932,0.820000000000001,0.149998883904863,0.0100013714837314,0.0100000853465679,0.0100003401750064,0.819999319089831,5,4.9782829,1
352.142857142857,0.15,0.01,0.01,0.01,0.82,0.15,0.00999999999999925,0.00999999999999994,0.00999999999999981,0.820000000000001,0.149999571484031,0.0100006814608526,0.0100000571183812,0.0100001769682989,0.819999512968436,5,4.8454064,1
365,0.15,0.01,0.01,0.01,0.82,0.15,0.00999999999999979,0.00999999999999998,0.00999999999999994,0.82,0.149999846481428,0.0100003576254598,0.0100000380515567,0.0100000968871431,0.819999660954412,5,4.9196894,1
275,0.29,0.01,0.01,0.01,0.68,0.29000000000026,0.00999999999988592,0.010000000000001,0.0099999999999808,0.679999999999872,0.289996556335702,0.0100015100897768,0.00999998677717807,0.0100002541903305,0.680001692607012,7,6.4002315,1
287.857142857143,0.29,0.01,0.01,0.01,0.68,0.290000000000023,0.00999999999998922,0.00999999999999997,0.00999999999999809,0.67999999999999,0.289999312815972,0.0100003208804548,0.0100000008807698,0.0100000568534038,0.6800003085694,7,6.3657563,1
300.714285714286,0.29,0.01,0.01,0.01,0.68,0.290000000000046,0.00999999999997662,0.00999999999999963,0.00999999999999561,0.679999999999982,0.289997110551184,0.0100014590711303,0.0100000231884483,0.0100002740882058,0.680001133101032,6,5.7496773,1
313.571428571429,0.29,0.01,0.01,0.01,0.68,0.290000000000007,0.00999999999999614,0.00999999999999988,0.00999999999999923,0.679999999999998,0.289999141248667,0.0100004807153772,0.0100000147667235,0.0100000956515566,0.680000267617675,6,5.5262533,1
326.428571428571,0.29,0.01,0.01,0.01,0.68,0.290000000000001,0.00999999999999928,0.00999999999999997,0.00999999999999985,0.68,0.289999728250759,0.0100001733262664,0.0100000082226571,0.0100000368244044,0.680000053375913,6,5.3061128,1
339.285714285714,0.29,0.01,0.01,0.01,0.68,0.290000000000005,0.00999999999999635,0.00999999999999976,0.00999999999999916,0.68,0.289997736828776,0.0100016953182861,0.010000112558818,0.0100003907344266,0.680000064559693,5,4.8547157,1
352.142857142857,0.29,0.01,0.01,0.01,0.68,0.290000000000001,0.00999999999999912,0.00999999999999993,0.00999999999999979,0.68,0.289999170276556,0.0100007897299912,0.0100000682832689,0.0100001942429873,0.679999777467196,5,4.9303616,1
365,0.29,0.01,0.01,0.01,0.68,0.29,0.00999999999999978,0.00999999999999998,0.00999999999999994,0.68,0.289999709912609,0.0100003926428009,0.0100000422356883,0.0100001027244524,0.679999752484449,5,4.989558,1
275,0.43,0.01,0.01,0.01,0.54,0.430000000000069,0.00999999999997462,0.0099999999999999,0.00999999999999589,0.539999999999961,0.429999196474257,0.0100002954309116,0.0100000011676308,0.010000047861277,0.540000459065924,8,6.7963657,1
287.857142857143,0.43,0.01,0.01,0.01,0.54,0.430000000000063,0.00999999999997538,0.00999999999999966,0.00999999999999585,0.539999999999966,0.429998363905905,0.0100006387107452,0.0100000089214829,0.0100001077820051,0.540000880679862,7,6.1358973,1
300.714285714286,0.43,0.01,0.01,0.01,0.54,0.430000000000006,0.00999999999999739,0.00999999999999993,0.00999999999999953,0.539999999999997,0.429999663381613,0.0100001417072351,0.0100000036040059,0.0100000253316295,0.540000165975517,7,6.0012072,1
313.571428571429,0.43,0.01,0.01,0.01,0.54,0.430000000000014,0.00999999999999359,0.00999999999999975,0.00999999999999878,0.539999999999994,0.42999847435336,0.010000702812938,0.010000027212188,0.0100001332774654,0.540000662344049,6,5.4236322,1
326.428571428571,0.43,0.01,0.01,0.01,0.54,0.430000000000002,0.00999999999999892,0.00999999999999994,0.00999999999999978,0.539999999999999,0.429999550207088,0.0100002337066135,0.0100000125512705,0.0100000474019396,0.540000156133088,6,5.2193042,1
339.285714285714,0.43,0.01,0.01,0.01,0.54,0.430000000000008,0.00999999999999527,0.00999999999999966,0.00999999999999895,0.539999999999998,0.42999657632444,0.0100020506399328,0.0100001461042376,0.010000456582136,0.540000770349254,5,4.8561251,1
352.142857142857,0.43,0.01,0.01,0.01,0.54,0.430000000000001,0.00999999999999898,0.00999999999999991,0.00999999999999976,0.54,0.429998785724992,0.0100009054145138,0.0100000810567034,0.010000216141781,0.54000001166201,5,4.767263,1
365,0.43,0.01,0.01,0.01,0.54,0.43,0.00999999999999977,0.00999999999999998,0.00999999999999994,0.54,0.429999579639359,0.0100004300457379,0.0100000467898037,0.0100001098510381,0.539999833674062,5,4.7539312,1
275,0.57,0.01,0.01,0.01,0.4,0.570000000000234,0.00999999999991795,0.0099999999999986,0.00999999999998613,0.399999999999863,0.569997590554763,0.0100008433367477,0.0100000144342137,0.0100001425687093,0.400001409105566,8,7.0373827,1
287.857142857143,0.57,0.01,0.01,0.01,0.4,0.570000000000147,0.00999999999994551,0.00999999999999859,0.00999999999999047,0.399999999999918,0.569996656780996,0.0100012379251556,0.0100000320440562,0.0100002166508773,0.400001856598915,7,6.1405899,1
300.714285714286,0.57,0.01,0.01,0.01,0.4,0.570000000000012,0.00999999999999518,0.00999999999999983,0.00999999999999912,0.399999999999994,0.569999422943534,0.0100002293033557,0.0100000082348178,0.010000042055883,0.400000297462409,7,5.9277985,1
313.571428571429,0.57,0.01,0.01,0.01,0.4,0.570000000000024,0.00999999999998984,0.00999999999999951,0.00999999999999804,0.399999999999989,0.569997716418416,0.0100009828082565,0.0100000470071008,0.0100001900472705,0.400001063718957,6,5.3636507,1
326.428571428571,0.57,0.01,0.01,0.01,0.4,0.570000000000003,0.00999999999999846,0.00999999999999991,0.00999999999999969,0.399999999999999,0.56999936827205,0.0100003034611123,0.0100000185242376,0.0100000620813475,0.400000247661253,6,5.1899641,1
339.285714285714,0.57,0.01,0.01,0.01,0.4,0.570000000000001,0.00999999999999975,0.00999999999999998,0.00999999999999994,0.4,0.569999811739136,0.0100001041508858,0.0100000079155408,0.0100000227504106,0.400000053444027,6,5.1677738,1
352.142857142857,0.57,0.01,0.01,0.01,0.4,0.570000000000002,0.00999999999999882,0.00999999999999989,0.00999999999999972,0.4,0.569998442700869,0.0100010288927675,0.0100000957342896,0.0100002438671951,0.400000188804879,5,4.6559686,1
365,0.57,0.01,0.01,0.01,0.4,0.57,0.00999999999999977,0.00999999999999998,0.00999999999999994,0.4,0.569999456725052,0.0100004702713196,0.0100000517859887,0.0100001184208069,0.399999902796833,5,4.578465,1
275,0.71,0.01,0.01,0.01,0.26,0.710000000000075,0.00999999999997233,0.00999999999999911,0.00999999999999466,0.259999999999959,0.709999318871732,0.0100002522630926,0.0100000080630005,0.010000048663549,0.260000372138626,9,7.7147785,1
287.857142857143,0.71,0.01,0.01,0.01,0.26,0.710000000000315,0.00999999999987745,0.00999999999999513,0.00999999999997584,0.259999999999837,0.709993706974686,0.0100024490238775,0.0100000972571876,0.010000482863244,0.260003263881005,7,6.3538443,1
300.714285714286,0.71,0.01,0.01,0.01,0.26,0.710000000000021,0.0099999999999915,0.00999999999999959,0.00999999999999827,0.25999999999999,0.70999914046786,0.0100003551609407,0.0100000172491672,0.0100000720644145,0.260000415057618,7,6.2938934,1
313.571428571429,0.71,0.01,0.01,0.01,0.26,0.710000000000035,0.00999999999998456,0.00999999999999909,0.00999999999999675,0.259999999999985,0.70999702509862,0.0100013224020101,0.0100000776580018,0.010000278219089,0.260001296622279,6,5.5362667,1
326.428571428571,0.71,0.01,0.01,0.01,0.26,0.710000000000005,0.00999999999999785,0.00999999999999985,0.00999999999999953,0.259999999999998,0.709999221716832,0.0100003803882433,0.010000026611281,0.0100000829176687,0.260000288365975,6,5.4036116,1
339.285714285714,0.71,0.01,0.01,0.01,0.26,0.710000000000001,0.00999999999999967,0.00999999999999997,0.00999999999999992,0.26,0.709999773286802,0.0100001247292819,0.0100000103080859,0.0100000283839391,0.260000063291891,6,5.3092826,1
352.142857142857,0.71,0.01,0.01,0.01,0.26,0.710000000000002,0.00999999999999866,0.00999999999999987,0.00999999999999968,0.26,0.709998175740652,0.0100011598462356,0.0100001126569223,0.0100002792100294,0.260000272546161,5,4.8212095,1
365,0.71,0.01,0.01,0.01,0.26,0.71,0.00999999999999976,0.00999999999999997,0.00999999999999994,0.26,0.709999343412423,0.0100005137365608,0.0100000573060601,0.0100001287094816,0.259999956835475,5,4.860937,1
275,0.85,0.01,0.01,0.01,0.12,0.850000000000534,0.00999999999975696,0.00999999999998771,0.00999999999994209,0.119999999999779,0.849995664558592,0.0100019729625528,0.0100000998048252,0.0100004700777593,0.120001792596271,9,7.8297825,1
287.857142857143,0.85,0.01,0.01,0.01,0.12,0.850000000000045,0.00999999999997874,0.00999999999999879,0.0099999999999949,0.119999999999983,0.849999205851678,0.010000375321026,0.0100000214095323,0.0100000899732163,0.120000307444547,8,7.0870465,1
