Temp,xFeed_1,xFeed_2,xPhaseI_1,xPhaseI_2,xPhaseII_1,xPhaseII_2,nIter,calculationTime,isSinglePhase
341.745939522586,0.584730086414258,0.415269913585742,0.750885917479361,0.249114082520639,0.120228687779837,0.879771312220163,24,2.8539377,0
281.115432929823,0.67902250406441,0.32097749593559,0.953503221324963,0.0464967786750374,0.011368406126431,0.988631593873569,6,0.7744723,0
284.536151189052,0.325481446868123,0.674518553131877,0.948827219196071,0.0511727808039291,0.0130134827925722,0.986986517207428,6,0.9174179,0
307.861385080633,0.70597343882804,0.29402656117196,0.903154117629368,0.0968458823706319,0.0317511799396405,0.96824882006036,9,1.2975481,0
353.506815901789,0.83082218348375,0.16917781651625,0.830822183484119,0.16917781651588,0.830780206190631,0.169219793809369,24,2.71588,1
323.147293179485,0.028354103820895,0.971645896179105,0.0283648608651254,0.971635139134875,0.028354103820893,0.971645896179107,19,2.2548721,1
327.133832472633,0.113218203974303,0.886781796025697,0.836457129286694,0.163542870713306,0.0661541794995656,0.933845820500435,14,1.9429315,0
360.550178826355,0.796587491726668,0.203412508273332,0.796587491848752,0.203412508151248,0.796514180607099,0.2034858193929,25,2.9516721,1
320.638869808816,0.432016131921989,0.567983868078011,0.863147822748017,0.136852177251983,0.0514909487805772,0.948509051219423,12,1.5905717,0
276.297854107276,0.401604456109112,0.598395543890888,0.959439554992658,0.0405604450073425,0.00937091895213543,0.990629081047865,6,1.0435991,0
347.86785036223,0.895479091253735,0.104520908746265,0.895479091254565,0.104520908745435,0.895453038564499,0.104546961435501,16,2.3300881,1
332.15780005052,0.732779866076978,0.267220133923022,0.811750392364834,0.188249607635166,0.0806874347111218,0.919312565288878,17,2.3092608,0
314.064485286036,0.973508759744883,0.0264912402551167,0.973508759744924,0.0264912402550757,0.973498746195659,0.0265012538043406,10,1.3464055,1
302.629146632165,0.17832835772664,0.82167164227336,0.915903415351015,0.0840965846489852,0.0260652451791322,0.973934754820868,9,1.3299971,0
298.595492050062,0.0897466893278907,0.910253310672109,0.924629910287473,0.0753700897125274,0.0223728523605361,0.977627147639464,8,1.0863499,0
314.850008359923,0.343342703504372,0.656657296495628,0.883017527220075,0.116982472779925,0.0413277738602469,0.958672226139753,11,1.5679066,0
